,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,latitude,longitude
170,Banyan Tree Cabo Marqués,Acapulco,Mexico,Latin America,Banyan Tree Holdings Limited,97.3,70,45,Small,Coastal,2009,21,0.0,0.0,2021,0.0,0.0
171,Ngala Safari Lodge,Kruger National Park Area,South Africa,Africa,andBeyond,97.26,71,20,Small,Safari,2020,21,0.0,0.0,2021,0.0,0.0
172,Sasaab,Samburu,Kenya,Africa,The Safari Collection,97.26,71,9,Small,Safari,2007,21,0.0,0.0,2021,0.0,0.0
173,The Sukhothai Bangkok,Bangkok,Thailand,Southeast Asia,HKR International,97.25,73,210,Medium,Palace,1991,20,0.0,0.0,2021,0.0,0.0
174,The Oberoi Grand,Kolkata,India,Southeast Asia,The Oberoi Group,97.2,74,209,Medium,Palace,1890,19,0.0,0.0,2021,0.0,0.0
175,Hôtel Plaza Athénée,Paris,France,Europe,Brunei Investment Agency,97.18,75,154,Medium,Palace,1913,20,0.0,0.0,2021,0.0,0.0
176,Mahekal Beach Resort,Playa del Carmen,Mexico,Latin America,Mahekal Beach Resort,97.12,76,196,Medium,Coastal,1982,20,0.0,0.0,2021,0.0,0.0
177,The Fullerton Hotel Singapore,Singapore,Singapore,Southeast Asia,Precious Treasure Pte,97.11,77,400,Big,Palace,2001,21,0.0,0.0,2021,0.0,0.0
178,Jade Mountain,Soufrière,St. Lucia,Caribbean,Nick Troubetzkoy,97.1,78,79,Small,Nature,2006,21,0.0,0.0,2021,0.0,0.0
179,Casa Chameleon,Las Catalinas,Costa Rica,Caribbean,Nolan Reynolds International,97.05,79,21,Small,Coastal,2020,21,0.0,0.0,2021,0.0,0.0
180,Hôtel Crillon Le Brave,Crillon-le-Brave,France,Europe,Maisons Pariente,97.0,80,34,Small,Nature,1988,20,0.0,0.0,2021,0.0,0.0
181,Le Bristol Paris,Paris,France,Europe,Oetker Collection,97.0,80,190,Medium,Palace,1925,20,0.0,0.0,2021,0.0,0.0
182,"Mandapa, a Ritz-Carlton Reserve",Bali,Indonesia,Southeast Asia,Marriott International,97.0,80,60,Small,Nature,2015,21,0.0,0.0,2021,0.0,0.0
183,Six Senses Laamu,Laamu Atoll,Maldives,Southeast Asia,Hotel Properties Limited,97.0,80,97,Small,Island,2011,21,0.0,0.0,2021,0.0,0.0
184,Waldorf Astoria Maldives Ithaafushi,Ithaafushi Island,Maldives,Southeast Asia,Hilton,97.0,80,119,Small,Island,2019,21,0.0,0.0,2021,0.0,0.0
185,The Wickaninnish Inn,British Columbia,Canada,North America,Wickaninnish Inn Ltd,97.0,80,75,Small,Coastal,1996,20,0.0,0.0,2021,0.0,0.0
186,Penha Longa Resort,Sintra,Portugal,Europe,Marriott International,96.94,86,44,Small,Nature,1993,20,0.0,0.0,2021,0.0,0.0
187,The St. Regis Bora Bora Resort,Bora Bora,French Polynesia,Oceania,Marriott International,96.89,87,90,Small,Island,2006,21,0.0,0.0,2021,0.0,0.0
188,Lion Sands Game Reserve,Sabi Sand Game Reserve ,South Africa,Africa,MORE Family Collection,96.87,88,18,Small,Safari,1933,20,0.0,0.0,2021,0.0,0.0
189,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.87,88,78,Small,Palace,1835,19,0.0,0.0,2021,0.0,0.0
190,The Oyster Box,Umhlanga,South Africa,Africa,The Travel Corporation,96.85,90,86,Small,Coastal,1947,20,0.0,0.0,2021,0.0,0.0
191,The Stafford,London,England,Europe,Britannia Hospitality Limited,96.75,91,107,Small,Contemporary ,1912,20,0.0,0.0,2021,0.0,0.0
192,"Tambo del Inka, a Luxury Collection Resort & Spa",Urubamba ,Peru,Latin America,Marriott International,96.74,92,128,Small,Nature,2010,21,0.0,0.0,2021,0.0,0.0
193,Cap Maison,Gros Islet,St. Lucia,Caribbean,Cap Maison Limited,96.73,93,49,Small,Coastal,2008,21,0.0,0.0,2021,0.0,0.0
194,Tensing Pen,Negril,Jamaica,Caribbean,Sam Petros,96.73,93,22,Small,Coastal,1975,20,0.0,0.0,2021,0.0,0.0
195,Hôtel Le Toiny,Anse de Toiny,St. Barthélemy,Caribbean, Charlie and Mandie Vere Nicoll,96.71,95,22,Small,Coastal,1992,20,0.0,0.0,2021,0.0,0.0
196,Rosewood Mayakoba,Playa del Carmen,Mexico,Latin America,Rosewood Hotel Group ,96.7,96,129,Small,Coastal,2007,21,0.0,0.0,2021,0.0,0.0
197,Canaves Oia Boutique Hotel,Santorini,Greece,Europe,The Chaidemenos' Family,96.69,97,18,Small,Coastal,1995,20,0.0,0.0,2021,0.0,0.0
198,Montage Los Cabos,Cabo San Lucas,Mexico,Latin America,Montage International,96.68,98,122,Small,Coastal,2018,21,0.0,0.0,2021,0.0,0.0
199,Badrutt's Palace Hotel,St. Moritz,Switzerland,Europe,Hansjürg and Anikó Badrutt.,96.67,99,157,Medium,Nature,1896,19,0.0,0.0,2021,0.0,0.0
200,Finca Cortesin Hotel Golf & Spa,Málaga,Spain,Europe,Finca Cortesin,96.63,100,67,Small,Nature,2009,21,0.0,0.0,2021,0.0,0.0
